符合條件商品
資料日期：2026年  5月  8日
策略,	wMA20_redraw
"序號","代碼","商品","成交","漲幅%","總量","當前乖離率(%)","期間最大正乖離(%)","近高回檔幅度(%)","峰谷落差(%)","峰值距今(週)","谷底距今(週)","量/峰值量比值","MA20迴歸角度","壓力量(週加總)","支撐量(週加總)","高檔長黑爆量(次)","週MA20扣抵","成值","市值","產業","細產業","所有細產業",產業地位
1	,"1519.TW","華城","896","0.56","5196","0.85","25.5","19.64","39.28","10","22","0.75","2","28571345","38729814","1","807","47.3","283028","上市電機機械","變電設備","變電設備,配電盤,電力設備",生產電力變壓器為主之重電廠
2	,"8069.TW","元太","162","5.88","22979","-2.47","16.5","16.28","13.44","11","23","2.68","20.56","61224170","19476177","1","187","36.4","187000","上櫃光電","電子紙","面板業,中小尺吋面板,電子紙",全球電子紙龍頭廠
3	,"1504.TW","東元","72.8","-1.62","40800","-2.54","12.86","13.64","6.17","10","12","2.64","5.6","226439361","182537382","1","87.7","29.7","173004","上市電機機械","電機","資產股,小家電,電冰箱,洗衣機,冷氣機,家電,液晶電視,電機,重電設備,配電工程,變頻器,自動化設備,產業機械,電力設備",多角化經營的台灣老牌家電廠
4	,"1503.TW","士電","202.5","1.5","6375","2.58","22.85","16.49","33.4","10","22","0.64","4.72","37877136","21124391","1","174","13","105496","上市電機機械","電機","汽機車零組件,引擎相關,資產股,設備儀器商,電機,重電設備,電氣零件與設備,變電設備,電氣開關設備,智慧電網相關,車用充電相關,配電盤,充電樁,電力設備",屬仰德集團，本業以電機相關產品為主，為士林三寶之一
5	,"1513.TW","中興電","158","0.96","17757","0.72","13.47","11.24","18.82","10","16","1.34","3.72","56207451","39263108","1","152.5","28.3","79491","上市電機機械","電機","其他公用事業,停車場,電機,重電設備,輸配電設備,電氣開關設備,智慧電網相關,配電工程,空調製冷,產業機械,電力設備",台灣知名重電及機電工程廠商
6	,"4772.TW","台特化","321.5","4.38","4608","1.24","10.22","8.14","19","10","19","1.17","10.2","19164564","24120117","1","308","14.5","47479","上櫃化工","工業氣體","工業氣體,化學工業",中美晶旗下，特氣供應商
7	,"2634.TW","漢翔","50.1","1.21","11067","-2.24","13.56","13.92","15.46","9","19","0.51","0.24","190355145","78725342","1","50.5","5.6","47187","上市航運業","飛機零件／製造","航天軍工,航天機械零組件,機械零組件,飛機零件/製造",台灣航太產業領導者
8	,"3376.TW","新日興","202.5","-5.81","6381","-1.93","13.33","13.46","24.36","7","8","0.43","0.29","57807870","48241141","1","210.5","13.2","39638","上市電子零組件","樞紐","模具沖壓,樞紐,電子零件元件",全球NB樞紐大廠
9	,"3596.TW","智易","178","6.27","6663","-0.86","19.19","16.82","20.56","8","15","0.75","10.62","12373595","8100901","1","182.5","11.7","39223","上市通信網路","無線網路設備系統(WLAN)","無線網路設備系統(WLAN),網通設備,5G通訊設備,4G通訊設備,視訊轉換相關,消費性電子產品",仁寶集團旗下網通廠
10	,"2015.TW","豐興","62.5","0","475","-2.28","10.39","11.47","13.6","7","17","0.68","1.55","3142237","2245413","1","63.2","0.3","36349","上市鋼鐵","鋼筋","鋼筋,條鋼,型鋼,棒鋼",台灣三大鋼筋廠之一
11	,"6561.TW","是方","345","3.14","201","-1.85","10.95","11.54","15.51","10","12","0.56","11.03","1187135","365516","1","358","0.7","26895","上櫃通信網路","電信／數據服務","電信/數據服務,通訊服務,雲端科技,Internet技術與基礎設施",中華電轉投資之台灣最大IDC機房營運商
12	,"6757.TW","台灣虎航","57","3.26","7144","-2.89","13.47","14.41","4.95","12","12","2.13","7.15","41651783","14583360","1","67.1","4.1","26193","上市航運業","空運","空運,運輸事業",華航旗下的廉價航空公司
13	,"9911.TW","櫻花","83.2","-0.48","265","-2.43","8.82","10.34","11.64","7","16","0.86","0.43","3090934","1922244","1","84.1","0.2","18502","上市居家生活","廚衛電","家居用品,廚具,廚衛電",台灣最大系統廚具連鎖通路品牌
14	,"9937.TW","全國","57.1","0.53","47","-0.44","13.34","12.15","17.38","8","8","0.06","0.52","1820365","2243302","1","59.1","0","17646","上市油電燃氣","加油站","加油站,其他公用事業",台灣知名加油站經營商，站數逾百座
